company_index,name,full_address_raw,street,building_no,postal_code,city,country_code,validation_status,tour_type,time_window_start,time_window_end,monday,tuesday,wednesday,thursday,friday,saturday,requires_frozen_food,delivery_notes,duration_matrix_index,google_api_customer_id,source_sheet
10129,Sarys SA,"Winterthurerstrasse 301, 8057 Zürich",Winterthurerstrasse 301,301,8057,Zürich,CH,PENDING,TK,,,f,f,f,f,f,f,t,Auf Abruf,79,10129,ZH2 Stadt
139,Dorfmarkt,"Hauptstrasse 29, Tobel",Hauptstrasse 29,29,9555,Tobel,CH,PENDING,,04:30:00,05:15:00,t,t,t,t,t,t,f,Hintereingang auf Rolliwagen,41,139,ZH2 Stadt
178,Bio&Fair,"Volkshausstrasse 22, 9630 Wattwil",Volkshausstrasse 22,22,9630,Wattwil,CH,PENDING,,04:57:00,09:00:00,f,t,f,t,t,t,f,Beim Eingang Ladentisch,3,178,ZH1 See
179,Benu Apotheke,"Witikonerstrasse 299, 8053Zürich",Witikonerstrasse 299,299,8053,Zürich,CH,PENDING,,06:30:00,08:00:00,f,f,f,f,t,f,f,Auf der Rampe im UG > Kiste mit Deckel abdecken,52,179,ZH2 Stadt
205,Kletterzentrum Gaswerk,"Kohlestrasse 12b, 8952 Schlieren",Kohlestrasse 12b,12b,8952,Schlieren,CH,PENDING,TK,,,f,t,f,t,f,f,t,wenn Ortoloco geliefert wird,75,205,ZH2 Stadt
208,Restaurant Adlisberg,"Adlisbergerstrasse 75, 8044 Zürich",Adlisbergerstrasse 75,75,8044,Zürich,CH,PENDING,TK,,,f,t,f,f,t,f,t,bei weisser Tür,30,208,ZH1 See
212,Restaurant Ziegelhütte,"Hüttenkopfstrasse 70, Zürich",Hüttenkopfstrasse 70,70,8051,Zürich,CH,PENDING,,05:20:00,11:00:00,f,t,t,t,t,t,f,"am linken Fenster beim Kellereingang, Reoturen auch dort",43,212,ZH2 Stadt
213,Hiltl Strandbad,"Mythenquai 95, 8002 Zürich",Mythenquai 95,95,8002,Zürich,CH,PENDING,TK,,,t,t,t,f,t,t,t,"Hintereingang bei der Strasse, Personen vor Ort",28,213,ZH1 See
221,Restaurant Volkshaus,"Stauffacherstrassse 60, Zürich",Stauffacherstrassse 60,60,8004,Zürich,CH,PENDING,TK,,,f,f,f,f,f,f,t,Auf Abruf,76,221,ZH2 Stadt
227,Verein Täglichbrot,"Onlineshop, Friesenbergplatz 5, Zürich",Onlineshop,,8055,Zürich,CH,PENDING,,06:00:00,07:00:00,f,f,f,f,f,t,f,In Laden stellen,49,227,ZH2 Stadt
229,Täglichbrot am Friesenplatz,"Friesenbergplatz 5, Zürich",Friesenbergplatz 5,5,8055,Zürich,CH,PENDING,,06:00:00,07:00:00,f,t,t,t,t,t,f,In Laden stellen,48,229,ZH2 Stadt
237,Welschland à la Öpfelchasper,"Zweierstrasse 56, Zürich",Zweierstrasse 56,56,8004,Zürich,CH,PENDING,,06:10:00,07:00:00,t,t,t,t,t,t,f,Im Laden stellen,50,237,ZH2 Stadt
238,Wystube Isebähnli AG,"Froschaugasse 26, Zürich",Froschaugasse 26,26,8001,Zürich,CH,PENDING,TK,08:05:00,,f,f,f,t,f,f,t,schwarze Boxe> beim Hauseingang in Korridor stellen,72,238,ZH2 Stadt
246,Hiltl,"Sihlpost Europaallee, Freischützstrasse, Zürich",Sihlpost Europaallee,,8004,Zürich,CH,PENDING,TK,,,t,t,t,f,t,t,t,UG Garage,85,246,ZH2 Stadt
247,Hiltl,"Dachterrasse, Zürich",Dachterrasse,,8001,Zürich,CH,PENDING,TK,,,t,t,t,f,t,t,t,Klingeln,86,247,ZH2 Stadt
248,Hiltl,"Sihlstrasse 28, Annagasse, Zürich",Sihlstrasse 28,28,8001,Zürich,CH,PENDING,TK,07:50:00,,f,f,f,f,f,f,t,Auf Abruf,69,248,ZH2 Stadt
249,Hiltl am See,"Seestrasse 205, 8802 Kilchberg",Seestrasse 205,205,8802,Kilchberg,CH,PENDING,TK,,,t,t,t,f,t,t,t,"Vor der Badi parkieren (Aussparung), Personen vor Ort",29,249,ZH1 See
255,Tibits Bistro,"Falkenstrasse 12, 8008 Zürich",Falkenstrasse 12,12,8008,Zürich,CH,PENDING,TK,07:00:00,,t,f,t,f,t,f,t,Anlieferung Muster oder Auslieferer Käppeli hat nichts am Lager,16,255,ZH1 See
258,Tibits Oerlikon,"Tramstrasse 2, Zürich",Tramstrasse 2,2,8050,Zürich,CH,PENDING,TK,,,f,f,f,f,t,t,t,,89,258,ZH2 Stadt
267,Wirtschaft im Franz,Bremgartenstrasse 18,Bremgartenstrasse 18,18,8003,Zürich,CH,PENDING,TK,07:30:00,,t,f,f,f,f,f,t,TK in Keller (Kollektiv Weitblick auch dort abladen),22,267,ZH1 See
268,Der Bioladen,"Altstetterstrasse 128, Zürich",Altstetterstrasse 128,128,8048,Zürich,CH,PENDING,,07:45:00,09:00:00,t,t,t,t,t,t,f,Mit Rolli in den Laden fahren (369 Bio Hof Zug > auf Abruf dort abladen),23,268,ZH1 See
274,Co-Working,Tessinerplatz 7  8002 Zürich,Tessinerplatz 7  8002 Zürich,,8002,Zürich,CH,PENDING,,,07:00:00,f,f,f,f,f,f,f,TK im  Restaurant abgeben,27,274,ZH1 See
275,Lotti Restaurant,"Werdmühleplatz 3, 8001 Zürich",Werdmühleplatz 3,3,8001,Zürich,CH,PENDING,,08:00:00,09:00:00,f,t,f,f,t,f,f,durch Haupteinang rechts vom Restaurant mit Lift ins UG > in die Küche stellen,71,275,ZH2 Stadt
276,West 169,"Weststrasse 169, Zürich",Weststrasse 169,169,8003,Zürich,CH,PENDING,,07:25:00,12:00:00,f,f,f,f,f,t,f,Beim Eingang links,21,276,ZH1 See
309,Bettio Comestibles,"Seedammcenter, Pfäffikon SZ",Seedammcenter,,8808,Pfäffikon SZ,CH,PENDING,,05:40:00,08:00:00,t,t,t,t,t,t,f,Beim Lieferanteneingang / Retouren beim Parkplatz,7,309,ZH1 See
310,L`Ultimo Bacio,"Nordstrasse 227, Wipkingen",Nordstrasse 227,227,8037,Wipkingen,CH,PENDING,,07:00:00,07:00:00,t,t,t,t,t,t,f,Im Laden abgeben/Retouren auf Terrasse,57,310,ZH2 Stadt
332,Hitzberger HB,Halle Löwenstrasse/ Landesmuseum,Halle Löwenstrasse/ Landesmuseum,,8001,Zürich,CH,PENDING,TK,,,t,f,t,f,t,f,t,Ladenlokal,82,332,ZH2 Stadt
333,Hitzberger Sihlcity,"Kalanderplatz 1, 8045 Zürich",Kalanderplatz 1,1,8045,Zürich,CH,PENDING,TK,,,f,f,f,f,f,f,t,"Garage > Anlieferung 3, Person mit Schlüssel holen > TK auf Rampe",26,333,ZH1 See
334,Hitzberger Glattzentrum,8301 Zürich,,,8301,Zürich,CH,PENDING,TK,,,f,f,f,t,f,f,t,,80,334,ZH2 Stadt
338,Hitzberger Neumarkt Oerlikon,"Hofwiesenstrasse 350, ZH",Hofwiesenstrasse 350,350,8050,ZH,CH,PENDING,TK,,,f,f,f,f,f,f,t,Leunora Islami >Durchfahrt offen,84,338,ZH2 Stadt
340,Hitzberger,"Zürich, Migros Gebäude",Zürich,,8001,Migros Gebäude,CH,PENDING,TK,,,f,f,f,f,f,f,t,Paul Marzahm,83,340,ZH2 Stadt
